after load_pe
    PC:  5368714617 -> 5368714431, op->size=32, di->imm.addr=-191 ; disp=0, dispSize=0
    PC:  5368714630 -> 5368812115, op->size=32, di->imm.addr=97479 ; disp=0, dispSize=0
    PC:  5368714647 -> 5368780016, op->size=32, di->imm.addr=65364 ; disp=0, dispSize=0
    PC:  5368714655 -> 5368781660, op->size=32, di->imm.addr=67000 ; disp=0, dispSize=0
    PC:  5368714668 -> 5368714595, op->size=8, di->imm.addr=-75 ; disp=0, dispSize=0
    PC:  5368714680 -> 5368802832, op->size=32, di->imm.addr=88147 ; disp=0, dispSize=0
    PC:  5368714712 -> 5368812076, op->size=32, di->imm.addr=97358 ; disp=0, dispSize=0
    PC:  5368714721 -> 5368812048, op->size=32, di->imm.addr=97321 ; disp=0, dispSize=0
    PC:  5368714730 -> 5368812020, op->size=32, di->imm.addr=97284 ; disp=0, dispSize=0
    PC:  5368714739 -> 5368811903, op->size=32, di->imm.addr=97158 ; disp=0, dispSize=0
    PC:  5368714751 -> 5368714834, op->size=8, di->imm.addr=81 ; disp=0, dispSize=0
    PC:  5368714756 -> 5368714561, op->size=32, di->imm.addr=-200 ; disp=0, dispSize=0
    PC:  5368714787 -> 5368714825, op->size=8, di->imm.addr=36 ; disp=0, dispSize=0
    PC:  5368714807 -> 5368711404, op->size=32, di->imm.addr=-3408 ; disp=0, dispSize=0
    PC:  5368714814 -> 5368714586, op->size=32, di->imm.addr=-234 ; disp=0, dispSize=0
    PC:  5368714820 -> 5368812212, op->size=32, di->imm.addr=97387 ; disp=0, dispSize=0
    PC:  5368714829 -> 5368811870, op->size=32, di->imm.addr=97036 ; disp=0, dispSize=0
    PC:  5368714837 -> 5368714561, op->size=32, di->imm.addr=-281 ; disp=0, dispSize=0
    PC:  5368714952 -> 5368808506, op->size=32, di->imm.addr=93549 ; disp=0, dispSize=0
    PC:  5368714982 -> 5368759776, op->size=32, di->imm.addr=44789 ; disp=0, dispSize=0
    PC:  5368714989 -> 5368715115, op->size=8, di->imm.addr=124 ; disp=0, dispSize=0
    PC:  5368715004 -> 5368715019, op->size=8, di->imm.addr=13 ; disp=0, dispSize=0
    PC:  5368715021 -> 5368715173, op->size=32, di->imm.addr=146 ; disp=0, dispSize=0
    PC:  5368715040 -> 5368715070, op->size=8, di->imm.addr=28 ; disp=0, dispSize=0
    PC:  5368715055 -> 5368715070, op->size=8, di->imm.addr=13 ; disp=0, dispSize=0
    PC:  5368715072 -> 5368715173, op->size=8, di->imm.addr=99 ; disp=0, dispSize=0
    PC:  5368715078 -> 5368833650, op->size=32, di->imm.addr=118566 ; disp=0, dispSize=0
    PC:  5368715094 -> 5368715648, op->size=32, di->imm.addr=549 ; disp=0, dispSize=0
    PC:  5368715103 -> 5368715115, op->size=8, di->imm.addr=10 ; disp=0, dispSize=0
    PC:  5368715108 -> 5368715184, op->size=32, di->imm.addr=71 ; disp=0, dispSize=0
    PC:  5368715140 -> 5368802832, op->size=32, di->imm.addr=87687 ; disp=0, dispSize=0
    PC:  5368715175 -> 5368715115, op->size=8, di->imm.addr=-62 ; disp=0, dispSize=0
    PC:  5368715209 -> 5368715524, op->size=32, di->imm.addr=310 ; disp=0, dispSize=0
    PC:  5368715219 -> 5368785936, op->size=32, di->imm.addr=70712 ; disp=0, dispSize=0
    PC:  5368715237 -> 5368835326, op->size=32, di->imm.addr=120083 ; disp=0, dispSize=0
    PC:  5368715257 -> 5368786348, op->size=32, di->imm.addr=71086 ; disp=0, dispSize=0
    PC:  5368715264 -> 5368835650, op->size=32, di->imm.addr=120380 ; disp=0, dispSize=0
    PC:  5368715283 -> 5368835650, op->size=32, di->imm.addr=120361 ; disp=0, dispSize=0
    PC:  5368715294 -> 5368785936, op->size=32, di->imm.addr=70637 ; disp=0, dispSize=0
    PC:  5368715306 -> 5368835568, op->size=32, di->imm.addr=120256 ; disp=0, dispSize=0
    PC:  5368715328 -> 5368835612, op->size=32, di->imm.addr=120278 ; disp=0, dispSize=0
    PC:  5368715421 -> 5368715437, op->size=8, di->imm.addr=14 ; disp=0, dispSize=0
    PC:  5368715427 -> 5368715437, op->size=8, di->imm.addr=8 ; disp=0, dispSize=0
    PC:  5368715444 -> 5368715556, op->size=32, di->imm.addr=107 ; disp=0, dispSize=0
    PC:  5368715457 -> 5368715524, op->size=32, di->imm.addr=62 ; disp=0, dispSize=0
    PC:  5368715468 -> 5368715510, op->size=8, di->imm.addr=40 ; disp=0, dispSize=0
    PC:  5368715514 -> 5368715470, op->size=8, di->imm.addr=-46 ; disp=0, dispSize=0
    PC:  5368715538 -> 5368835702, op->size=32, di->imm.addr=120158 ; disp=0, dispSize=0
    PC:  5368715582 -> 5368715610, op->size=8, di->imm.addr=26 ; disp=0, dispSize=0
    PC:  5368715604 -> 5368835744, op->size=32, di->imm.addr=120134 ; disp=0, dispSize=0
    PC:  5368715612 -> 5368715624, op->size=8, di->imm.addr=10 ; disp=0, dispSize=0
    PC:  5368715746 -> 5368808506, op->size=32, di->imm.addr=92755 ; disp=0, dispSize=0
    PC:  5368715776 -> 5368759776, op->size=32, di->imm.addr=43995 ; disp=0, dispSize=0
    PC:  5368715783 -> 5368715937, op->size=32, di->imm.addr=148 ; disp=0, dispSize=0
    PC:  5368715797 -> 5368754788, op->size=32, di->imm.addr=38986 ; disp=0, dispSize=0
    PC:  5368715825 -> 5368715952, op->size=32, di->imm.addr=122 ; disp=0, dispSize=0
    PC:  5368715833 -> 5368835774, op->size=32, di->imm.addr=119935 ; disp=0, dispSize=0
    PC:  5368715869 -> 5368730388, op->size=32, di->imm.addr=14514 ; disp=0, dispSize=0
    PC:  5368715876 -> 5368715937, op->size=8, di->imm.addr=59 ; disp=0, dispSize=0
    PC:  5368715903 -> 5368802832, op->size=32, di->imm.addr=86924 ; disp=0, dispSize=0
    PC:  5368715942 -> 5368715878, op->size=8, di->imm.addr=-66 ; disp=0, dispSize=0
    PC:  5368715957 -> 5368715960, op->size=8, di->imm.addr=1 ; disp=0, dispSize=0
    PC:  5368715975 -> 5368716014, op->size=8, di->imm.addr=37 ; disp=0, dispSize=0
    PC:  5368715992 -> 5368716014, op->size=8, di->imm.addr=20 ; disp=0, dispSize=0
    PC:  5368716009 -> 5368716014, op->size=8, di->imm.addr=3 ; disp=0, dispSize=0
    PC:  5368716058 -> 5368808576, op->size=32, di->imm.addr=92513 ; disp=0, dispSize=0
    PC:  5368716139 -> 5368835806, op->size=32, di->imm.addr=119661 ; disp=0, dispSize=0
    PC:  5368716148 -> 5368835860, op->size=32, di->imm.addr=119706 ; disp=0, dispSize=0
    PC:  5368716165 -> 5368714848, op->size=32, di->imm.addr=-1322 ; disp=0, dispSize=0
    PC:  5368716184 -> 5368802832, op->size=32, di->imm.addr=86643 ; disp=0, dispSize=0
    PC:  5368716246 -> 5368837668, op->size=32, di->imm.addr=121416 ; disp=0, dispSize=0
    PC:  5368716259 -> 5368715556, op->size=32, di->imm.addr=-708 ; disp=0, dispSize=0
    PC:  5368716349 -> 5368727312, op->size=32, di->imm.addr=10958 ; disp=0, dispSize=0
    PC:  5368716357 -> 5368716371, op->size=8, di->imm.addr=12 ; disp=0, dispSize=0
    PC:  5368716366 -> 5368785660, op->size=32, di->imm.addr=69289 ; disp=0, dispSize=0
    PC:  5368716386 -> 5368725388, op->size=32, di->imm.addr=8997 ; disp=0, dispSize=0
